reference_month,cpi_all_items,source_pull
2017-05-01,130.5,cpi_41690973_20260902_202300.json
2017-06-01,130.4,cpi_41690973_20260902_202300.json
2017-07-01,130.4,cpi_41690973_20260902_202300.json
2017-08-01,130.5,cpi_41690973_20260902_202300.json
2017-09-01,130.8,cpi_41690973_20260902_202300.json
2017-10-01,130.9,cpi_41690973_20260902_202300.json
2017-11-01,131.3,cpi_41690973_20260902_202300.json
2017-12-01,130.8,cpi_41690973_20260902_202300.json
2018-01-01,131.7,cpi_41690973_20260902_202300.json
2018-02-01,132.5,cpi_41690973_20260902_202300.json
2018-03-01,132.9,cpi_41690973_20260902_202300.json
2018-04-01,133.3,cpi_41690973_20260902_202300.json
2018-05-01,133.4,cpi_41690973_20260902_202300.json
2018-06-01,133.6,cpi_41690973_20260902_202300.json
2018-07-01,134.3,cpi_41690973_20260902_202300.json
2018-08-01,134.2,cpi_41690973_20260902_202300.json
2018-09-01,133.7,cpi_41690973_20260902_202300.json
2018-10-01,134.1,cpi_41690973_20260902_202300.json
2018-11-01,133.5,cpi_41690973_20260902_202300.json
2018-12-01,133.4,cpi_41690973_20260902_202300.json
2019-01-01,133.6,cpi_41690973_20260902_202300.json
2019-02-01,134.5,cpi_41690973_20260902_202300.json
2019-03-01,135.4,cpi_41690973_20260902_202300.json
2019-04-01,136.0,cpi_41690973_20260902_202300.json
2019-05-01,136.6,cpi_41690973_20260902_202300.json
2019-06-01,136.3,cpi_41690973_20260902_202300.json
2019-07-01,137.0,cpi_41690973_20260902_202300.json
2019-08-01,136.8,cpi_41690973_20260902_202300.json
2019-09-01,136.2,cpi_41690973_20260902_202300.json
2019-10-01,136.6,cpi_41690973_20260902_202300.json
2019-11-01,136.4,cpi_41690973_20260902_202300.json
2019-12-01,136.4,cpi_41690973_20260902_202300.json
2020-01-01,136.8,cpi_41690973_20260902_202300.json
2020-02-01,137.4,cpi_41690973_20260902_202300.json
2020-03-01,136.6,cpi_41690973_20260902_202300.json
2020-04-01,135.7,cpi_41690973_20260902_202300.json
2020-05-01,136.1,cpi_41690973_20260902_202300.json
2020-06-01,137.2,cpi_41690973_20260902_202300.json
2020-07-01,137.2,cpi_41690973_20260902_202300.json
2020-08-01,137.0,cpi_41690973_20260902_202300.json
2020-09-01,136.9,cpi_41690973_20260902_202300.json
2020-10-01,137.5,cpi_41690973_20260902_202300.json
2020-11-01,137.7,cpi_41690973_20260902_202300.json
2020-12-01,137.4,cpi_41690973_20260902_202300.json
2021-01-01,138.2,cpi_41690973_20260902_202300.json
2021-02-01,138.9,cpi_41690973_20260902_202300.json
2021-03-01,139.6,cpi_41690973_20260902_202300.json
2021-04-01,140.3,cpi_41690973_20260902_202300.json
2021-05-01,141.0,cpi_41690973_20260902_202300.json
2021-06-01,141.4,cpi_41690973_20260902_202300.json
