origin_date,horizon,actual,naive,xgboost,fold,lower_90,upper_90,lower_95,upper_95
2012-02-17,1,0.9599999999999997,0.9599999999999997,0.9639040746632961,0,0.9260651162266729,1.001743032634258,0.9205356380343435,1.0072725108265874
2012-02-17,5,0.95,0.9599999999999997,0.9642382972314951,0,0.8871847978234289,1.0412918022274968,0.8643800085783002,1.0640965914726255
2012-02-17,20,0.9600000000000002,0.9599999999999997,0.9297544053196904,0,0.7695939457416532,1.089914879798889,0.7363931751251218,1.1231156504154203
2012-02-20,1,0.9799999999999998,0.9599999999999997,0.9629950209427622,0,0.9251560634374616,1.0008339798450467,0.9196265852451322,1.0063634580373761
2012-02-20,5,0.94,0.9599999999999997,0.9590207747323436,0,0.8819672754406926,1.0360742798447606,0.859162486195564,1.0588790690898893
2012-02-20,20,1.0,0.9599999999999997,0.9194724737107751,0,0.7593120104074476,1.0796329444646833,0.7261112397909162,1.1128337150812146
2012-02-21,1,0.9499999999999997,0.9799999999999998,0.9856842938065526,0,0.9478453356027601,1.0235232520103452,0.9423158574104307,1.0290527302026746
2012-02-21,5,0.9099999999999999,0.9799999999999998,0.9735109969228504,0,0.8964574965834615,1.0505645009875295,0.8736527073383329,1.0733692902326581
2012-02-21,20,0.9899999999999998,0.9799999999999998,0.9469456183910367,0,0.7867851513624189,1.1071060854196546,0.7535843807458875,1.140306856036186
2012-02-22,1,0.9599999999999997,0.9499999999999997,0.9453097077086565,0,0.9074707485735414,0.9831486649811265,0.901941270381212,0.9886781431734559
2012-02-22,5,0.8799999999999999,0.9499999999999997,0.9171503268182275,0,0.8400968283414838,0.9942038290202615,0.8172920316457746,1.0170086145400998
2012-02-22,20,0.9600000000000002,0.9499999999999997,0.8943445540964601,0,0.7341840833425519,1.0545050173997876,0.7009833127260205,1.087705788016319
2012-02-23,1,0.95,0.9599999999999997,0.9606440362776627,0,0.9228050774335859,0.998482993841171,0.9172755992412565,1.0040124720335004
2012-02-23,5,0.8999999999999999,0.9599999999999997,0.9680809500068424,0,0.8910274496674535,1.0451344540715215,0.8682226604223249,1.0679392433166501
2012-02-23,20,0.9600000000000002,0.9599999999999997,0.9293231210112569,0,0.7691626465320585,1.0894835805892942,0.7359618759155271,1.1226843512058255
2012-02-24,1,0.94,0.95,0.9526657681446522,0,0.9148268111050128,0.990504727512598,0.9092973329126834,0.9960342057049274
