horizon,var_bic_rmse,naive_rmse,var_bic_mae,naive_mae,rmse_improvement_pct,mae_improvement_pct
1,0.03030199367807607,0.030267623498683595,0.021907880669565224,0.021751152073732717,-0.11355427159311086,-0.7205530782977532
5,0.06545162200048256,0.06518083082168577,0.048324892297478945,0.04811059907834101,-0.4154460374056732,-0.4454178980165876
20,0.13725941090865343,0.13497055490455775,0.1036996923044721,0.10161290322580646,-1.6958187700378067,-2.053665442496339
