origin_date,horizon,actual,vecm,var_aic,var_bic,naive,vecm_lower_90,vecm_upper_90,vecm_lower_95,vecm_upper_95
2012-01-19,1,1.02,0.9805048436822712,0.9755130806749912,0.9777354709418837,0.98,0.9348747903867118,1.0261348969778306,0.9261332816134367,1.0348764057511057
2012-01-26,1,0.99,0.9941072207356967,0.9871019998822989,1.0078174603174603,1.01,0.9485640567215184,1.0396503847498748,0.9398391936315297,1.0483752478398638
2012-02-02,1,0.9699999999999998,0.970381012050308,0.9650218723291917,0.9477210216110019,0.95,0.9249373976259934,1.0158246264746227,0.9162316055988308,1.0245304185017852
2012-02-09,1,0.9799999999999998,1.001941185932375,0.9926626806768314,0.9978404669260699,0.9999999999999998,0.9566473373339437,1.0472350345308064,0.9479702364694327,1.0559121353953174
2012-02-16,1,0.9599999999999996,0.9661636902492464,0.9591373187891153,0.957784200385356,0.9599999999999996,0.9209997860137463,1.0113275944847464,0.9123475790449589,1.019979801453534
2012-02-23,1,0.95,0.9746921414555192,0.9698777102932201,0.95780534351145,0.9599999999999996,0.9296112137820766,1.019773069128962,0.9209749029232608,1.0284093799877776
2012-03-01,1,0.8599999999999999,0.9044515824109873,0.9004046113435907,0.8977126654064271,0.8999999999999999,0.8593823263222148,0.9495208384997599,0.850748251429663,0.9581549133923116
2012-03-08,1,0.8399999999999999,0.8442512985946661,0.8409845237112447,0.8376217228464418,0.8399999999999999,0.79920137029447,0.8893012268948621,0.7905709980939207,0.8979315990954114
2012-03-15,1,0.9600000000000002,0.9409649196974442,0.9357706857119293,0.9378293135435992,0.94,0.8957754966477224,0.9861543427471661,0.8871184009505138,0.9948114384443747
2012-03-22,1,0.9500000000000002,0.9509515345648991,0.9455109237057795,0.9578860294117649,0.9600000000000002,0.905826805573419,0.9960762635563792,0.8971821035430342,1.0047209655867642
2012-03-29,1,0.91,0.9045751828658302,0.9033788633000649,0.8977959927140257,0.9000000000000001,0.85952795740541,0.9496224083262503,0.850898102997322,0.9582522627343383
2012-04-05,1,0.8799999999999999,0.867882910588772,0.8678838876601676,0.8777797833935017,0.8799999999999999,0.8230183436432549,0.9127474775342891,0.8144234817652041,0.9213423394123399
2012-04-12,1,0.79,0.8293667101195714,0.8293788175111025,0.8176923076923075,0.8199999999999998,0.7845357561507922,0.8741976640883506,0.7759473336281625,0.8827860866109803
2012-04-19,1,0.71,0.7137023090775996,0.71477963354158,0.7075177304964538,0.71,0.6688665256297233,0.7585380925254759,0.6602771779069052,0.7671274402482939
2012-04-26,1,0.6599999999999999,0.6746966968862738,0.6736542762375379,0.6774868189806675,0.6799999999999997,0.6298291660825586,0.719564227689989,0.621233736407835,0.7281596573647126
2012-05-03,1,0.77,0.7111779161270164,0.7072732805754841,0.6975435540069685,0.7,0.6663587214083505,0.7559971108456823,0.6577725516463601,0.7645832806076728
2012-05-10,1,0.6699999999999999,0.7485847875037624,0.7432671817184265,0.7476511226252159,0.75,0.7036808295697641,0.7934887454377608,0.6950784214223902,0.8020911535851347
2012-05-17,1,0.6699999999999999,0.6654464416527961,0.6624184195076249,0.6575171232876712,0.6599999999999999,0.6203355986459713,0.7105572846596209,0.6116935568021944,0.7191993265033978
2012-05-24,1,0.73,0.7128993656758174,0.7104207570993872,0.717640067911715,0.7200000000000002,0.6679321088109352,0.7578666225406995,0.659317574266161,0.7664811570854737
2012-05-31,1,0.7400000000000001,0.6700476340619482,0.6686801389375826,0.6775925925925925,0.6799999999999999,0.6251814443079723,0.7149138238159242,0.6165862715428339,0.7235089965810626
2012-06-07,1,0.77,0.7612808019024101,0.7600194076189374,0.757746243739566,0.76,0.7160330601612668,0.8065285436435534,0.7073647921485362,0.815196811656284
2012-06-14,1,0.76,0.744326517129224,0.7424866696221416,0.7477483443708609,0.75,0.6991693019353721,0.789483732323076,0.6905183764096694,0.7981346578487787
2012-06-21,1,0.74,0.7031860968665203,0.7023101047485846,0.6976847290640393,0.7,0.6580393998892825,0.7483327938437582,0.6493904893750946,0.7569817043579461
2012-06-28,1,0.71,0.7034340502897105,0.699942275518646,0.7177361563517916,0.72,0.6583677532899853,0.7485003472894357,0.6497342452804634,0.7571338552989576
2012-07-05,1,0.71,0.7243490941424129,0.7204145370806981,0.6977221324717285,0.7,0.6794478050021785,0.7692503832826473,0.6708459081249526,0.7778522801598732
2012-07-12,1,0.6499999999999999,0.6614272686664006,0.6567920103165235,0.6576762820512819,0.6599999999999999,0.6166333951865024,0.7062211421462987,0.6080520763027129,0.7148024610300883
2012-07-19,1,0.6600000000000001,0.6701900658775319,0.6654080969492211,0.6677106518282988,0.6699999999999999,0.6255929206888567,0.7147872110662071,0.6170492897313236,0.7233308420237403
2012-07-26,1,0.6399999999999999,0.6371001557003938,0.6332876639295267,0.6276656151419557,0.6299999999999999,0.5926292178390509,0.6815710935617367,0.5841097648602717,0.6900905465405159
2012-08-02,1,0.6499999999999999,0.6149908051207846,0.6090039390570445,0.6076525821596243,0.6099999999999999,0.5705965522739163,0.659385057967653,0.5620917901113514,0.6678898201302179
2012-08-09,1,0.6500000000000001,0.6480112395244797,0.6413020732755557,0.6477329192546585,0.6500000000000001,0.603756100010983,0.6922663790379764,0.5952779882758517,0.7007444907731077
2012-08-16,1,0.74,0.71625506024049,0.7087945428308181,0.7178582434514638,0.72,0.6721479519248171,0.7603621685561629,0.663698199043578,0.7688119214374021
2012-08-23,1,0.6800000000000002,0.681393440216852,0.6729595913169447,0.6878287461773702,0.6900000000000002,0.637417689655595,0.725369190778109,0.6289931014384255,0.7337937789952785
2012-08-30,1,0.6200000000000001,0.6542729970205101,0.6467722655214009,0.6377693474962065,0.6400000000000001,0.6103493573834157,0.6981966366576046,0.6019347522381001,0.7066112418029201
2012-09-06,1,0.6700000000000002,0.6778712886512142,0.6710344091172102,0.6778463855421688,0.6800000000000002,0.634006762462054,0.7217358148403743,0.625603481886543,0.7301390954158853
2012-09-13,1,0.77,0.7032774460703723,0.6977305111494396,0.7079073243647235,0.71,0.659530889174424,0.7470240029663207,0.6511502083886812,0.7554046837520635
2012-09-20,1,0.7100000000000002,0.7024918782157363,0.6973431534341823,0.7079228486646886,0.7100000000000002,0.6586645632409469,0.7463191931905258,0.650268411347815,0.7547153450836577
2012-09-27,1,0.6599999999999999,0.6549076550187335,0.6495948115800991,0.6478497790868925,0.6499999999999999,0.6111740897065245,0.6986412203309424,0.6027958977638804,0.7070194122735866
2012-10-04,1,0.6700000000000002,0.6795249728952188,0.6742285202226838,0.6678947368421052,0.6699999999999999,0.6359261773613615,0.7231237684290762,0.6275738037361364,0.7314761420543013
2012-10-11,1,0.6600000000000001,0.6646446922595167,0.6591642970816658,0.6578955007256896,0.6600000000000001,0.6211723413384069,0.7081170431806265,0.6128441911495321,0.7164451933695013
2012-10-18,1,0.75,0.7668594461873564,0.762322132494807,0.7680691642651295,0.7699999999999998,0.7233236613263728,0.8103952310483399,0.7149833588759538,0.8187355334987589
2012-10-25,1,0.72,0.7449896062248587,0.7395805015455017,0.7480543633762518,0.75,0.7013658650952768,0.7886133473544406,0.6930087125551014,0.7969704998946159
2012-11-01,1,0.71,0.7222492279723431,0.716916645217585,0.7080113636363636,0.71,0.678750666090487,0.7657477898541993,0.6704174945762625,0.7740809613684237
2012-11-08,1,0.6299999999999999,0.6516246611754228,0.648117968005589,0.6479407616361071,0.6499999999999999,0.6081799196480163,0.6950694027028294,0.5998570586871799,0.7033922636636658
2012-11-15,1,0.6199999999999999,0.653169397572406,0.6499718922570198,0.6479551820728291,0.6499999999999999,0.6098385830098542,0.6965002121349578,0.6015375474358158,0.7048012477089962
2012-11-22,1,0.6699999999999999,0.6637774625457384,0.6602368953039399,0.6579833101529902,0.6599999999999999,0.6205354631831853,0.7070194619082916,0.6122514422473934,0.7153034828440835
