regime,model,model_key,horizon,n_forecasts,rmse_model,rmse_naive,rmse_improvement_pct,mae_model,mae_naive,mae_improvement_pct,r2_oos,r2_oos_adj,cw_stat,cw_p_value,model_significantly_better
Regime 2: Policy Plateau / Higher-for-Longer,VECM,vecm,1,22,0.04213,0.04183,-0.703,0.0252,0.025,-0.8,-0.0141,-0.008815,-0.485,0.6862,False
Regime 2: Policy Plateau / Higher-for-Longer,VECM,vecm,5,22,0.07112,0.07157,0.634,0.0552,0.05591,1.271,0.012646,0.022147,0.513,0.304,False
Regime 2: Policy Plateau / Higher-for-Longer,VECM,vecm,20,22,0.10837,0.10957,1.095,0.09108,0.09136,0.311,0.021771,0.032467,0.354,0.3617,False
Regime 2: Policy Plateau / Higher-for-Longer,LSTM,lstm,1,22,0.04185,0.04183,-0.029,0.0245,0.025,1.984,-0.000583,0.00331,0.208,0.4176,False
Regime 2: Policy Plateau / Higher-for-Longer,LSTM,lstm,5,22,0.06889,0.07157,3.754,0.05331,0.05591,4.649,0.073677,0.087747,2.298,0.0108,True
Regime 2: Policy Plateau / Higher-for-Longer,LSTM,lstm,20,22,0.09922,0.10957,9.44,0.0819,0.09136,10.361,0.179891,0.252646,1.783,0.0373,True
Regime 2: Policy Plateau / Higher-for-Longer,XGBoost,xgboost,1,22,0.04182,0.04183,0.041,0.02416,0.025,3.363,0.000814,0.006307,0.213,0.4156,False
Regime 2: Policy Plateau / Higher-for-Longer,XGBoost,xgboost,5,22,0.07092,0.07157,0.917,0.0542,0.05591,3.051,0.018248,0.075639,0.819,0.2063,False
Regime 2: Policy Plateau / Higher-for-Longer,XGBoost,xgboost,20,22,0.1166,0.10957,-6.419,0.09719,0.09136,-6.377,-0.132499,0.006094,0.03,0.488,False
Regime 3: Easing Cycle & Un-inversion,ARIMA-AIC,arima_aic,1,104,0.02847,0.0284,-0.223,0.01998,0.01971,-1.362,-0.004458,0.000269,0.023,0.4908,False
Regime 3: Easing Cycle & Un-inversion,ARIMA-AIC,arima_aic,5,104,0.04634,0.04475,-3.546,0.03334,0.03183,-4.765,-0.072183,-0.063294,-2.576,0.995,False
Regime 3: Easing Cycle & Un-inversion,ARIMA-AIC,arima_aic,20,104,0.11032,0.10464,-5.422,0.08416,0.07942,-5.97,-0.11137,-0.102419,-1.537,0.9379,False
Regime 3: Easing Cycle & Un-inversion,VAR-AIC,var_aic,1,104,0.02817,0.0284,0.817,0.0198,0.01971,-0.471,0.016276,0.030553,1.167,0.1217,False
Regime 3: Easing Cycle & Un-inversion,VAR-AIC,var_aic,5,104,0.0463,0.04475,-3.458,0.03437,0.03183,-7.986,-0.070355,-0.020091,-0.44,0.67,False
Regime 3: Easing Cycle & Un-inversion,VAR-AIC,var_aic,20,104,0.10428,0.10464,0.345,0.07933,0.07942,0.116,0.006885,0.040361,0.97,0.166,False
Regime 3: Easing Cycle & Un-inversion,VECM,vecm,1,104,0.02797,0.0284,1.53,0.0195,0.01971,1.057,0.030371,0.050163,1.636,0.0509,False
Regime 3: Easing Cycle & Un-inversion,VECM,vecm,5,104,0.04534,0.04475,-1.31,0.03316,0.03183,-4.176,-0.026378,0.043443,0.791,0.2143,False
Regime 3: Easing Cycle & Un-inversion,VECM,vecm,20,104,0.0954,0.10464,8.832,0.07295,0.07942,8.146,0.168838,0.285223,1.664,0.048,True
Regime 3: Easing Cycle & Un-inversion,LSTM,lstm,1,104,0.02874,0.0284,-1.184,0.02022,0.01971,-2.59,-0.023829,-0.018819,-1.408,0.9204,False
Regime 3: Easing Cycle & Un-inversion,LSTM,lstm,5,104,0.04436,0.04475,0.875,0.03207,0.03183,-0.779,0.017428,0.049383,1.26,0.1038,False
Regime 3: Easing Cycle & Un-inversion,LSTM,lstm,20,104,0.10239,0.10464,2.148,0.07736,0.07942,2.601,0.042495,0.114089,1.03,0.1516,False
Regime 3: Easing Cycle & Un-inversion,XGBoost,xgboost,1,104,0.02828,0.0284,0.433,0.01976,0.01971,-0.264,0.008639,0.012007,1.007,0.1569,False
Regime 3: Easing Cycle & Un-inversion,XGBoost,xgboost,5,104,0.04646,0.04475,-3.819,0.03514,0.03183,-10.394,-0.07783,-0.026205,-1.233,0.8913,False
Regime 3: Easing Cycle & Un-inversion,XGBoost,xgboost,20,104,0.11003,0.10464,-5.149,0.08263,0.07942,-4.032,-0.105637,0.020466,0.26,0.3976,False
