origin_date,horizon,actual,var_direct,naive
2012-01-19,1,1.02,0.9754261142814336,0.98
2012-01-26,1,0.99,0.9951021497378225,1.01
2012-02-02,1,0.9699999999999998,0.9586531344660466,0.95
2012-02-09,1,0.9799999999999998,0.9925956278918213,0.9999999999999998
2012-02-16,1,0.9599999999999996,0.9598065047291182,0.9599999999999996
2012-02-23,1,0.95,0.9680335351578664,0.9599999999999996
2012-03-01,1,0.8599999999999999,0.9025850586835723,0.8999999999999999
2012-03-08,1,0.8399999999999999,0.8411751097238328,0.8399999999999999
2012-03-15,1,0.9600000000000002,0.935534515090733,0.94
2012-03-22,1,0.9500000000000002,0.9458181450519917,0.9600000000000002
2012-03-29,1,0.91,0.9021180266446424,0.9000000000000001
2012-04-05,1,0.8799999999999999,0.8695459036188146,0.8799999999999999
2012-04-12,1,0.79,0.8306241775008295,0.8199999999999998
2012-04-19,1,0.71,0.716498281722144,0.71
2012-04-26,1,0.6599999999999999,0.6816658493378298,0.6799999999999997
2012-05-03,1,0.77,0.6983542418963125,0.7
2012-05-10,1,0.6699999999999999,0.7434973045027315,0.75
2012-05-17,1,0.6699999999999999,0.6631975868575477,0.6599999999999999
2012-05-24,1,0.73,0.7088802019661219,0.7200000000000002
2012-05-31,1,0.7400000000000001,0.6706757527423696,0.6799999999999999
2012-06-07,1,0.77,0.7605299462461612,0.76
2012-06-14,1,0.76,0.7429114823566864,0.75
2012-06-21,1,0.74,0.7031689035434738,0.7
2012-06-28,1,0.71,0.7100409108218575,0.72
2012-07-05,1,0.71,0.7039496233858242,0.7
2012-07-12,1,0.6499999999999999,0.65850676624843,0.6599999999999999
2012-07-19,1,0.6600000000000001,0.6652652884434742,0.6699999999999999
2012-07-26,1,0.6399999999999999,0.6303916112195225,0.6299999999999999
2012-08-02,1,0.6499999999999999,0.6137435252749996,0.6099999999999999
2012-08-09,1,0.6500000000000001,0.6413465305714177,0.6500000000000001
2012-08-16,1,0.74,0.7095977812026437,0.72
2012-08-23,1,0.6800000000000002,0.6765587144233349,0.6900000000000002
2012-08-30,1,0.6200000000000001,0.64172195791319,0.6400000000000001
2012-09-06,1,0.6700000000000002,0.6714102649945554,0.6800000000000002
2012-09-13,1,0.77,0.6978290098100609,0.71
2012-09-20,1,0.7100000000000002,0.6970317706619809,0.7100000000000002
2012-09-27,1,0.6599999999999999,0.6500575637737458,0.6499999999999999
2012-10-04,1,0.6700000000000002,0.6752732880389996,0.6699999999999999
2012-10-11,1,0.6600000000000001,0.6602469076044235,0.6600000000000001
2012-10-18,1,0.75,0.7625230152661063,0.7699999999999998
2012-10-25,1,0.72,0.7407702953098304,0.75
2012-11-01,1,0.71,0.7152875643206733,0.71
2012-11-08,1,0.6299999999999999,0.6480414140459201,0.6499999999999999
2012-11-15,1,0.6199999999999999,0.6502735051468422,0.6499999999999999
2012-11-22,1,0.6699999999999999,0.660151366511372,0.6599999999999999
2012-11-29,1,0.6299999999999999,0.612822112857519,0.6199999999999999
2012-12-06,1,0.6499999999999999,0.6463231750360315,0.6499999999999999
2012-12-13,1,0.6699999999999999,0.6762106557347778,0.6799999999999999
2012-12-20,1,0.6799999999999999,0.7041837629686125,0.7100000000000002
2012-12-27,1,0.6400000000000001,0.6501145320916064,0.6500000000000001
2013-01-03,1,0.73,0.7148258767676099,0.73
2013-01-10,1,0.75,0.7662010831763482,0.77
2013-01-17,1,0.74,0.7506987823834325,0.75
2013-01-24,1,0.81,0.7712000202835805,0.7699999999999998
2013-01-31,1,0.8500000000000001,0.8202362482000034,0.8300000000000001
2013-02-07,1,0.8599999999999999,0.8332447755714832,0.8400000000000001
2013-02-14,1,0.8799999999999999,0.8630143126639193,0.8700000000000001
2013-02-21,1,0.8699999999999999,0.8654533339165008,0.8699999999999999
2013-02-28,1,0.8600000000000001,0.8799282166345938,0.8800000000000001
2013-03-07,1,0.95,0.9162057020066119,0.92
2013-03-14,1,0.8999999999999999,0.9438763104476207,0.95
2013-03-21,1,0.8300000000000001,0.8361612046565551,0.8400000000000001
2013-03-28,1,0.76,0.7660772925243439,0.76
2013-04-04,1,0.77,0.7965051613047323,0.8
2013-04-11,1,0.79,0.7955076096864462,0.8
2013-04-18,1,0.77,0.7598467235227987,0.76
2013-04-25,1,0.7699999999999999,0.7849823734780937,0.79
2013-05-02,1,0.81,0.7548324009992806,0.7599999999999999
2013-05-09,1,0.8799999999999999,0.817599370018966,0.8300000000000001
2013-05-16,1,0.91,0.8629224194773981,0.8699999999999999
2013-05-23,1,0.92,0.926143735632114,0.92
2013-05-30,1,0.98,0.9817347849709911,0.9899999999999998
2013-06-06,1,1.02,0.9765484723839608,0.99
2013-06-13,1,1.02,1.0109080742333083,1.02
2013-06-20,1,1.2200000000000002,1.1555901128578987,1.14
2013-06-27,1,1.22,1.2022176032372482,1.22
2013-07-04,1,1.3199999999999998,1.2411605518930882,1.2300000000000002
2013-07-11,1,1.2900000000000005,1.2927556947637695,1.31
2013-07-18,1,1.2799999999999998,1.3132547301140927,1.3099999999999998
2013-07-25,1,1.3000000000000005,1.3088867632579138,1.31
2013-08-01,1,1.3300000000000003,1.3612590247096996,1.36
2013-08-08,1,1.35,1.344137180401228,1.3500000000000003
2013-08-15,1,1.5000000000000002,1.464506493578644,1.4700000000000002
2013-08-22,1,1.5,1.5394970372949563,1.5400000000000005
2013-08-29,1,1.42,1.4131833402183966,1.41
2013-09-05,1,1.4699999999999998,1.5143494012396637,1.5099999999999998
2013-09-12,1,1.4799999999999998,1.5004350381845282,1.4999999999999998
2013-09-19,1,1.47,1.458987742736816,1.4800000000000002
2013-09-26,1,1.35,1.3602236571391357,1.36
2013-10-03,1,1.39,1.3607822248261556,1.36
2013-10-10,1,1.38,1.3752591529925484,1.38
2013-10-17,1,1.35,1.3661592249312795,1.38
2013-10-24,1,1.33,1.3358536102459382,1.3299999999999998
2013-10-31,1,1.38,1.317041498573537,1.3199999999999998
2013-11-07,1,1.4700000000000002,1.4152367093720604,1.42
2013-11-14,1,1.44,1.455507259456927,1.46
2013-11-21,1,1.5,1.5585076283638077,1.5499999999999998
2013-11-28,1,1.4499999999999995,1.4505734575946345,1.45
2013-12-05,1,1.6,1.589733434351843,1.59
2013-12-12,1,1.56,1.5591803023202206,1.56
2013-12-19,1,1.5599999999999998,1.5637710705938945,1.5600000000000005
2013-12-26,1,1.64,1.5932668267796306,1.5900000000000003
2014-01-02,1,1.61,1.6068837439926926,1.6100000000000003
2014-01-09,1,1.54,1.5809412563255278,1.58
2014-01-16,1,1.48,1.4905290733416319,1.48
2014-01-23,1,1.43,1.445971164823917,1.4400000000000002
2014-01-30,1,1.39,1.4004243145022854,1.4
2014-02-06,1,1.41,1.450609228485436,1.4500000000000002
