horizon,arima_aic_rmse,arima_aic_mae,arima_bic_rmse,arima_bic_mae,naive_rmse,naive_mae,arima_aic_rmse_improvement_pct,arima_aic_mae_improvement_pct,arima_bic_rmse_improvement_pct,arima_bic_mae_improvement_pct
1,0.029104201085633073,0.020794450462413322,0.02901002002958048,0.0206646330917186,0.029001149402509314,0.020586666666666677,-0.3553365478502113,-1.0093124793392738,-0.030587156902130912,-0.37872291961750126
5,0.06187216720902024,0.04719335810937565,0.061355014788185856,0.04662991072219462,0.061160989745643164,0.046333333333333344,-1.1627958709215203,-1.8561685813862754,-0.3172365969707243,-0.640095083873257
20,0.12815286360180989,0.09630992776403781,0.12654609756496693,0.09569117972063464,0.1250573201909162,0.09438666666666669,-2.475299651526147,-2.0376406597377312,-1.1904759927511002,-1.3820946326825272
