origin_date,horizon,actual,var_bic,naive
2012-01-19,1,1.02,0.9777354709418837,0.98
2012-01-19,5,1.01,0.9686773547094188,0.98
2012-01-19,20,0.9599999999999996,0.9347094188376753,0.98
2012-01-26,1,0.99,1.0078174603174603,1.01
2012-01-26,5,0.95,0.9990873015873016,1.01
2012-01-26,20,0.9599999999999996,0.9663492063492063,1.01
2012-02-02,1,0.9699999999999998,0.9477210216110019,0.95
2012-02-02,5,0.9999999999999998,0.9386051080550097,0.95
2012-02-02,20,0.8999999999999999,0.9044204322200392,0.95
2012-02-09,1,0.9799999999999998,0.9978404669260699,0.9999999999999998
2012-02-09,5,0.9599999999999996,0.98920233463035,0.9999999999999998
2012-02-09,20,0.8399999999999999,0.9568093385214005,0.9999999999999998
2012-02-16,1,0.9599999999999996,0.957784200385356,0.9599999999999996
2012-02-16,5,0.9599999999999996,0.9489210019267819,0.9599999999999996
2012-02-16,20,0.94,0.9156840077071287,0.9599999999999996
2012-02-23,1,0.95,0.95780534351145,0.9599999999999996
2012-02-23,5,0.8999999999999999,0.9490267175572515,0.9599999999999996
2012-02-23,20,0.9600000000000002,0.9161068702290073,0.9599999999999996
2012-03-01,1,0.8599999999999999,0.8977126654064271,0.8999999999999999
2012-03-01,5,0.8399999999999999,0.888563327032136,0.8999999999999999
2012-03-01,20,0.9000000000000001,0.8542533081285443,0.8999999999999999
2012-03-08,1,0.8399999999999999,0.8376217228464418,0.8399999999999999
2012-03-08,5,0.94,0.8281086142322096,0.8399999999999999
2012-03-08,20,0.8799999999999999,0.7924344569288388,0.8399999999999999
2012-03-15,1,0.9600000000000002,0.9378293135435992,0.94
2012-03-15,5,0.9600000000000002,0.9291465677179962,0.94
2012-03-15,20,0.8199999999999998,0.8965862708719851,0.94
2012-03-22,1,0.9500000000000002,0.9578860294117649,0.9600000000000002
2012-03-22,5,0.9000000000000001,0.9494301470588237,0.9600000000000002
2012-03-22,20,0.71,0.9177205882352943,0.9600000000000002
2012-03-29,1,0.91,0.8977959927140257,0.9000000000000001
2012-03-29,5,0.8799999999999999,0.8889799635701277,0.9000000000000001
2012-03-29,20,0.6799999999999997,0.8559198542805102,0.9000000000000001
2012-04-05,1,0.8799999999999999,0.8777797833935017,0.8799999999999999
2012-04-05,5,0.8199999999999998,0.8688989169675089,0.8799999999999999
2012-04-05,20,0.7,0.835595667870036,0.8799999999999999
2012-04-12,1,0.79,0.8176923076923075,0.8199999999999998
2012-04-12,5,0.71,0.8084615384615383,0.8199999999999998
2012-04-12,20,0.75,0.7738461538461536,0.8199999999999998
2012-04-19,1,0.71,0.7075177304964538,0.71
2012-04-19,5,0.6799999999999997,0.6975886524822694,0.71
2012-04-19,20,0.6599999999999999,0.660354609929078,0.71
2012-04-26,1,0.6599999999999999,0.6774868189806675,0.6799999999999997
2012-04-26,5,0.7,0.6674340949033389,0.6799999999999997
2012-04-26,20,0.7200000000000002,0.6297363796133565,0.6799999999999997
2012-05-03,1,0.77,0.6975435540069685,0.7
2012-05-03,5,0.75,0.6877177700348431,0.7
2012-05-03,20,0.6799999999999999,0.6508710801393728,0.7
2012-05-10,1,0.6699999999999999,0.7476511226252159,0.75
2012-05-10,5,0.6599999999999999,0.7382556131260795,0.75
2012-05-10,20,0.76,0.7030224525043178,0.75
2012-05-17,1,0.6699999999999999,0.6575171232876712,0.6599999999999999
2012-05-17,5,0.7200000000000002,0.6475856164383561,0.6599999999999999
2012-05-17,20,0.75,0.6103424657534245,0.6599999999999999
2012-05-24,1,0.73,0.717640067911715,0.7200000000000002
2012-05-24,5,0.6799999999999999,0.7082003395585741,0.7200000000000002
2012-05-24,20,0.7,0.6728013582342957,0.7200000000000002
2012-05-31,1,0.7400000000000001,0.6775925925925925,0.6799999999999999
2012-05-31,5,0.76,0.6679629629629629,0.6799999999999999
2012-05-31,20,0.72,0.6318518518518518,0.6799999999999999
2012-06-07,1,0.77,0.757746243739566,0.76
2012-06-07,5,0.75,0.7487312186978298,0.76
2012-06-07,20,0.7,0.7149248747913188,0.76
2012-06-14,1,0.76,0.7477483443708609,0.75
2012-06-14,5,0.7,0.7387417218543046,0.75
2012-06-14,20,0.6599999999999999,0.7049668874172186,0.75
2012-06-21,1,0.74,0.6976847290640393,0.7
2012-06-21,5,0.72,0.688423645320197,0.7
2012-06-21,20,0.6699999999999999,0.6536945812807882,0.7
2012-06-28,1,0.71,0.7177361563517916,0.72
2012-06-28,5,0.7,0.7086807817589577,0.72
2012-06-28,20,0.6299999999999999,0.6747231270358306,0.72
2012-07-05,1,0.71,0.6977221324717285,0.7
2012-07-05,5,0.6599999999999999,0.6886106623586429,0.7
2012-07-05,20,0.6099999999999999,0.6544426494345719,0.7
2012-07-12,1,0.6499999999999999,0.6576762820512819,0.6599999999999999
2012-07-12,5,0.6699999999999999,0.6483814102564102,0.6599999999999999
2012-07-12,20,0.6500000000000001,0.6135256410256409,0.6599999999999999
2012-07-19,1,0.6600000000000001,0.6677106518282988,0.6699999999999999
2012-07-19,5,0.6299999999999999,0.6585532591414943,0.6699999999999999
2012-07-19,20,0.72,0.6242130365659777,0.6699999999999999
2012-07-26,1,0.6399999999999999,0.6276656151419557,0.6299999999999999
2012-07-26,5,0.6099999999999999,0.6183280757097791,0.6299999999999999
2012-07-26,20,0.6900000000000002,0.5833123028391166,0.6299999999999999
2012-08-02,1,0.6499999999999999,0.6076525821596243,0.6099999999999999
2012-08-02,5,0.6500000000000001,0.5982629107981219,0.6099999999999999
2012-08-02,20,0.6400000000000001,0.5630516431924881,0.6099999999999999
2012-08-09,1,0.6500000000000001,0.6477329192546585,0.6500000000000001
2012-08-09,5,0.72,0.6386645962732921,0.6500000000000001
2012-08-09,20,0.6800000000000002,0.6046583850931678,0.6500000000000001
2012-08-16,1,0.74,0.7178582434514638,0.72
2012-08-16,5,0.6900000000000002,0.7092912172573189,0.72
2012-08-16,20,0.71,0.6771648690292758,0.72
2012-08-23,1,0.6800000000000002,0.6878287461773702,0.6900000000000002
2012-08-23,5,0.6400000000000001,0.6791437308868503,0.6900000000000002
2012-08-23,20,0.7100000000000002,0.6465749235474008,0.6900000000000002
2012-08-30,1,0.6200000000000001,0.6377693474962065,0.6400000000000001
2012-08-30,5,0.6800000000000002,0.628846737481032,0.6400000000000001
2012-08-30,20,0.6499999999999999,0.5953869499241276,0.6400000000000001
2012-09-06,1,0.6700000000000002,0.6778463855421688,0.6800000000000002
2012-09-06,5,0.71,0.6692319277108435,0.6800000000000002
2012-09-06,20,0.6699999999999999,0.6369277108433736,0.6800000000000002
2012-09-13,1,0.77,0.7079073243647235,0.71
2012-09-13,5,0.7100000000000002,0.6995366218236173,0.71
2012-09-13,20,0.6600000000000001,0.6681464872944693,0.71
2012-09-20,1,0.7100000000000002,0.7079228486646886,0.7100000000000002
2012-09-20,5,0.6499999999999999,0.6996142433234424,0.7100000000000002
2012-09-20,20,0.7699999999999998,0.6684569732937687,0.7100000000000002
2012-09-27,1,0.6599999999999999,0.6478497790868925,0.6499999999999999
2012-09-27,5,0.6699999999999999,0.6392488954344624,0.6499999999999999
2012-09-27,20,0.75,0.6069955817378497,0.6499999999999999
2012-10-04,1,0.6700000000000002,0.6678947368421052,0.6699999999999999
2012-10-04,5,0.6600000000000001,0.6594736842105262,0.6699999999999999
2012-10-04,20,0.71,0.6278947368421052,0.6699999999999999
2012-10-11,1,0.6600000000000001,0.6578955007256896,0.6600000000000001
2012-10-11,5,0.7699999999999998,0.6494775036284471,0.6600000000000001
2012-10-11,20,0.6499999999999999,0.6179100145137882,0.6600000000000001
2012-10-18,1,0.75,0.7680691642651295,0.7699999999999998
2012-10-18,5,0.75,0.7603458213256482,0.7699999999999998
2012-10-18,20,0.6499999999999999,0.7313832853025934,0.7699999999999998
2012-10-25,1,0.72,0.7480543633762518,0.75
2012-10-25,5,0.71,0.740271816881259,0.75
2012-10-25,20,0.6599999999999999,0.7110872675250357,0.75
2012-11-01,1,0.71,0.7080113636363636,0.71
2012-11-01,5,0.6499999999999999,0.7000568181818182,0.71
2012-11-01,20,0.6199999999999999,0.6702272727272727,0.71
2012-11-08,1,0.6299999999999999,0.6479407616361071,0.6499999999999999
2012-11-08,5,0.6499999999999999,0.6397038081805358,0.6499999999999999
2012-11-08,20,0.6499999999999999,0.6088152327221438,0.6499999999999999
2012-11-15,1,0.6199999999999999,0.6479551820728291,0.6499999999999999
2012-11-15,5,0.6599999999999999,0.6397759103641456,0.6499999999999999
2012-11-15,20,0.6799999999999999,0.6091036414565826,0.6499999999999999
2012-11-22,1,0.6699999999999999,0.6579833101529902,0.6599999999999999
2012-11-22,5,0.6199999999999999,0.6499165507649513,0.6599999999999999
2012-11-22,20,0.7100000000000002,0.6196662030598052,0.6599999999999999
