horizon,model_a,model_b,pipeline_pair,n_forecasts,insufficient_sample,dm_stat_squared_loss,dm_p_value_squared_loss,dm_stat_absolute_loss,dm_p_value_absolute_loss,a_significantly_better_rmse,b_significantly_better_rmse,a_significantly_better_mae,b_significantly_better_mae,verdict,dm_p_adj_squared_loss,dm_p_adj_absolute_loss,a_significantly_better_rmse_bh,b_significantly_better_rmse_bh,a_significantly_better_mae_bh,b_significantly_better_mae_bh,verdict_bh
5,arima_aic,arima_bic,same,750,False,1.976,0.0486,1.978,0.0483,False,True,False,True,arima_bic significantly better than arima_aic (RMSE and MAE agree),0.1458,0.1323,False,False,False,False,no significant difference on either RMSE or MAE
5,arima_aic,lstm,cross,745,False,1.396,0.1632,1.629,0.1037,False,False,False,False,no significant difference on either RMSE or MAE,0.3727161290322581,0.1953,False,False,False,False,no significant difference on either RMSE or MAE
5,arima_aic,var_aic,same,750,False,-1.938,0.053,-1.647,0.0999,False,False,False,False,no significant difference on either RMSE or MAE,0.15177272727272728,0.1953,False,False,False,False,no significant difference on either RMSE or MAE
5,arima_aic,var_bic,same,750,False,1.979,0.0482,1.982,0.0478,False,True,False,True,var_bic significantly better than arima_aic (RMSE and MAE agree),0.1458,0.1323,False,False,False,False,no significant difference on either RMSE or MAE
5,arima_aic,vecm,cross,750,False,-1.599,0.1102,-0.874,0.3821,False,False,False,False,no significant difference on either RMSE or MAE,0.286272,0.5121765957446809,False,False,False,False,no significant difference on either RMSE or MAE
5,arima_bic,lstm,cross,745,False,-0.454,0.6502,-0.171,0.8641,False,False,False,False,no significant difference on either RMSE or MAE,0.7728792452830189,0.8924311475409836,False,False,False,False,no significant difference on either RMSE or MAE
5,arima_bic,var_aic,same,750,False,-2.407,0.0163,-2.508,0.0124,True,False,True,False,arima_bic significantly better than var_aic (RMSE and MAE agree),0.08432307692307692,0.048825,False,False,True,False,arima_bic significantly better than the rival on MAE only (p=0.0488); RMSE not significant
5,arima_bic,var_bic,same,750,False,1.584,0.1136,1.936,0.0532,False,False,False,False,no significant difference on either RMSE or MAE,0.286272,0.13965,False,False,False,False,no significant difference on either RMSE or MAE
5,arima_bic,vecm,cross,750,False,-2.095,0.0365,-1.741,0.0822,True,False,False,False,arima_bic significantly better than the rival on RMSE only (p=0.0365); MAE not significant,0.12775,0.1774161290322581,False,False,False,False,no significant difference on either RMSE or MAE
5,naive,arima_aic,same,750,False,-1.996,0.0463,-2.192,0.0287,True,False,True,False,naive significantly better than arima_aic (RMSE and MAE agree),0.1458,0.090405,False,False,False,False,no significant difference on either RMSE or MAE
5,naive,arima_bic,same,750,False,-1.208,0.2272,-1.714,0.0869,False,False,False,False,no significant difference on either RMSE or MAE,0.39349459459459457,0.1774161290322581,False,False,False,False,no significant difference on either RMSE or MAE
5,naive,lstm,same,3725,False,-0.791,0.4289,-0.776,0.4379,False,False,False,False,no significant difference on either RMSE or MAE,0.5874065217391304,0.5517540000000001,False,False,False,False,no significant difference on either RMSE or MAE
5,naive,var_aic,same,750,False,-2.487,0.0131,-2.824,0.0049,True,False,True,False,naive significantly better than var_aic (RMSE and MAE agree),0.08432307692307692,0.023746153846153847,False,False,True,False,naive significantly better than the rival on MAE only (p=0.0237); RMSE not significant
5,naive,var_bic,same,750,False,-1.206,0.2283,-1.712,0.0873,False,False,False,False,no significant difference on either RMSE or MAE,0.39349459459459457,0.1774161290322581,False,False,False,False,no significant difference on either RMSE or MAE
5,naive,vecm,same,750,False,-2.217,0.0269,-2.157,0.0313,True,False,True,False,naive significantly better than vecm (RMSE and MAE agree),0.12105,0.09390000000000001,False,False,False,False,no significant difference on either RMSE or MAE
