feature,mean_abs_shap
d_us_treasury_10y,0.014630741315309479
d_usdcad,0.008117591946052582
d_cpi_yoy,0.006202643026606216
d_yield_spread_10y_2y,0.005810379370538286
d_overnight_rate,0.005018722290719056
d_fed_funds_rate,0.0031779328277710696
