horizon_days,response_variable,shock_variable,proportion
2,cpi_yoy,fed_funds_rate,0.00025647192312502426
2,cpi_yoy,cpi_yoy,0.9979373963131144
2,cpi_yoy,usdcad,7.358280349836341e-05
2,usdcad,yield_spread_10y_2y,0.0008759648386825104
2,usdcad,overnight_rate,0.010027441076543485
2,usdcad,us_treasury_10y,0.007141102098059205
2,usdcad,fed_funds_rate,0.0002097226797551756
2,usdcad,cpi_yoy,0.002069626830975495
2,usdcad,usdcad,0.9796761424759842
3,yield_spread_10y_2y,yield_spread_10y_2y,0.9983372375247263
3,yield_spread_10y_2y,overnight_rate,3.5241717564375395e-05
3,yield_spread_10y_2y,us_treasury_10y,0.000759379060612699
3,yield_spread_10y_2y,fed_funds_rate,8.592104224885955e-05
3,yield_spread_10y_2y,cpi_yoy,0.00024069044212607861
3,yield_spread_10y_2y,usdcad,0.0005415302127217211
3,overnight_rate,yield_spread_10y_2y,0.008738540444011983
3,overnight_rate,overnight_rate,0.9897422678687304
3,overnight_rate,us_treasury_10y,4.359284180208905e-05
3,overnight_rate,fed_funds_rate,0.0010324553747887366
3,overnight_rate,cpi_yoy,2.5090274620900112e-05
3,overnight_rate,usdcad,0.00041805319604614887
3,us_treasury_10y,yield_spread_10y_2y,0.17822622326460744
3,us_treasury_10y,overnight_rate,0.003454431688665742
3,us_treasury_10y,us_treasury_10y,0.817855252071176
3,us_treasury_10y,fed_funds_rate,0.00030729577369831897
3,us_treasury_10y,cpi_yoy,9.92208907003682e-05
3,us_treasury_10y,usdcad,5.7576311152041184e-05
3,fed_funds_rate,yield_spread_10y_2y,0.0004122583440093011
3,fed_funds_rate,overnight_rate,0.012605516243530873
3,fed_funds_rate,us_treasury_10y,0.0021625242550840883
3,fed_funds_rate,fed_funds_rate,0.984280876421262
3,fed_funds_rate,cpi_yoy,0.0001734177888868587
3,fed_funds_rate,usdcad,0.0003654069472268092
3,cpi_yoy,yield_spread_10y_2y,0.00135672578512102
3,cpi_yoy,overnight_rate,0.00010649917969529453
3,cpi_yoy,us_treasury_10y,0.00016113200660552928
3,cpi_yoy,fed_funds_rate,0.0005094813736640964
3,cpi_yoy,cpi_yoy,0.9977847649071001
3,cpi_yoy,usdcad,8.139674781410299e-05
3,usdcad,yield_spread_10y_2y,0.002213974743861257
3,usdcad,overnight_rate,0.01354186797244415
3,usdcad,us_treasury_10y,0.007160850856494514
3,usdcad,fed_funds_rate,0.0006489235578556401
3,usdcad,cpi_yoy,0.0021674424506131786
3,usdcad,usdcad,0.9742669404187313
4,yield_spread_10y_2y,yield_spread_10y_2y,0.9965850923008909
4,yield_spread_10y_2y,overnight_rate,6.80530969527691e-05
4,yield_spread_10y_2y,us_treasury_10y,0.0017244919564305891
4,yield_spread_10y_2y,fed_funds_rate,0.0001597115727575952
4,yield_spread_10y_2y,cpi_yoy,0.0002472748698195235
4,yield_spread_10y_2y,usdcad,0.0012153762031485791
4,overnight_rate,yield_spread_10y_2y,0.011107687036005828
4,overnight_rate,overnight_rate,0.984676322810031
4,overnight_rate,us_treasury_10y,0.00022002549939734726
4,overnight_rate,fed_funds_rate,0.0019053048694790246
4,overnight_rate,cpi_yoy,6.159235739326265e-05
4,overnight_rate,usdcad,0.002029067427693586
4,us_treasury_10y,yield_spread_10y_2y,0.17315362574898013
4,us_treasury_10y,overnight_rate,0.004032819324024056
4,us_treasury_10y,us_treasury_10y,0.8222233383453963
4,us_treasury_10y,fed_funds_rate,0.0002482905995297963
4,us_treasury_10y,cpi_yoy,0.0002688073384750331
4,us_treasury_10y,usdcad,7.311864359467335e-05
4,fed_funds_rate,yield_spread_10y_2y,0.0007294484182321549
4,fed_funds_rate,overnight_rate,0.011582049789821903
4,fed_funds_rate,us_treasury_10y,0.0030090478261448786
4,fed_funds_rate,fed_funds_rate,0.984024972084217
4,fed_funds_rate,cpi_yoy,0.00026881684284212987
4,fed_funds_rate,usdcad,0.00038566503874180673
4,cpi_yoy,yield_spread_10y_2y,0.001432324665808148
4,cpi_yoy,overnight_rate,0.0007265941419057654
4,cpi_yoy,us_treasury_10y,0.0001658680801755648
4,cpi_yoy,fed_funds_rate,0.001496020351845696
4,cpi_yoy,cpi_yoy,0.9960624068551739
4,cpi_yoy,usdcad,0.00011678590509092067
4,usdcad,yield_spread_10y_2y,0.003413565595419301
4,usdcad,overnight_rate,0.016397061046413492
4,usdcad,us_treasury_10y,0.0062044516944944
4,usdcad,fed_funds_rate,0.0007111532676246425
4,usdcad,cpi_yoy,0.0023690289140973443
4,usdcad,usdcad,0.9709047394819508
5,yield_spread_10y_2y,yield_spread_10y_2y,0.9959034754659547
5,yield_spread_10y_2y,overnight_rate,0.00036716292296363426
5,yield_spread_10y_2y,us_treasury_10y,0.0021405181933592406
5,yield_spread_10y_2y,fed_funds_rate,0.00013838682746162626
5,yield_spread_10y_2y,cpi_yoy,0.00022361824868160607
5,yield_spread_10y_2y,usdcad,0.0012268383415791272
5,overnight_rate,yield_spread_10y_2y,0.012049709074156333
5,overnight_rate,overnight_rate,0.9805616953080742
5,overnight_rate,us_treasury_10y,0.0012682203733152854
5,overnight_rate,fed_funds_rate,0.0027573796907645574
5,overnight_rate,cpi_yoy,0.00010214687773142813
5,overnight_rate,usdcad,0.0032608486759581
5,us_treasury_10y,yield_spread_10y_2y,0.16664343230297013
5,us_treasury_10y,overnight_rate,0.00468148833927022
5,us_treasury_10y,us_treasury_10y,0.8280507911708112
5,us_treasury_10y,fed_funds_rate,0.00031292705986151864
5,us_treasury_10y,cpi_yoy,0.000245754240403313
5,us_treasury_10y,usdcad,6.560688668358929e-05
5,fed_funds_rate,yield_spread_10y_2y,0.00129716510335042
5,fed_funds_rate,overnight_rate,0.0200777048571913
5,fed_funds_rate,us_treasury_10y,0.0035377892641156794
5,fed_funds_rate,fed_funds_rate,0.9743729677479325
5,fed_funds_rate,cpi_yoy,0.0002649281067754626
5,fed_funds_rate,usdcad,0.00044944492063469767
5,cpi_yoy,yield_spread_10y_2y,0.001415761812210875
5,cpi_yoy,overnight_rate,0.0011073577351463947
5,cpi_yoy,us_treasury_10y,0.0001433360396306862
5,cpi_yoy,fed_funds_rate,0.0021901313747957466
5,cpi_yoy,cpi_yoy,0.9950345702873575
5,cpi_yoy,usdcad,0.00010884275085882616
5,usdcad,yield_spread_10y_2y,0.0038266762419369854
5,usdcad,overnight_rate,0.018653670322358505
5,usdcad,us_treasury_10y,0.005805987420090577
5,usdcad,fed_funds_rate,0.0010045559238061315
5,usdcad,cpi_yoy,0.0023926577033701155
5,usdcad,usdcad,0.9683164523884377
6,yield_spread_10y_2y,yield_spread_10y_2y,0.995068442782504
6,yield_spread_10y_2y,overnight_rate,0.0009433007430537925
6,yield_spread_10y_2y,us_treasury_10y,0.0025104093228076095
6,yield_spread_10y_2y,fed_funds_rate,0.0001228609554566487
6,yield_spread_10y_2y,cpi_yoy,0.00019695546970239838
6,yield_spread_10y_2y,usdcad,0.0011580307264756134
6,overnight_rate,yield_spread_10y_2y,0.011920177875590592
6,overnight_rate,overnight_rate,0.9773999752769535
6,overnight_rate,us_treasury_10y,0.002901117478208345
6,overnight_rate,fed_funds_rate,0.0037243213657725607
6,overnight_rate,cpi_yoy,0.0001667034837780952
6,overnight_rate,usdcad,0.003887704519696872
6,us_treasury_10y,yield_spread_10y_2y,0.16305427782614562
6,us_treasury_10y,overnight_rate,0.004841119944811926
6,us_treasury_10y,us_treasury_10y,0.8314449987046704
6,us_treasury_10y,fed_funds_rate,0.00027020274264422816
6,us_treasury_10y,cpi_yoy,0.0002467685118609147
6,us_treasury_10y,usdcad,0.00014263226986698687
6,fed_funds_rate,yield_spread_10y_2y,0.0011567977770204883
6,fed_funds_rate,overnight_rate,0.025749580691922062
6,fed_funds_rate,us_treasury_10y,0.004147140924804539
6,fed_funds_rate,fed_funds_rate,0.9680638339157027
6,fed_funds_rate,cpi_yoy,0.00043907031453259995
6,fed_funds_rate,usdcad,0.0004435763760175992
6,cpi_yoy,yield_spread_10y_2y,0.0014944584975315253
6,cpi_yoy,overnight_rate,0.0014022089912624457
6,cpi_yoy,us_treasury_10y,0.0001263417032615355
6,cpi_yoy,fed_funds_rate,0.0025576426978989723
