origin_date,origin_idx,horizon,actual,naive,arima_aic,arima_aic_converged,arima_bic,arima_bic_converged
2012-01-19,500,1,1.02,0.98,0.9760096843541789,False,0.9777304775211991,True
2012-01-19,500,5,1.01,0.98,0.969676919370275,False,0.9686523876059957,True
2012-01-19,500,20,0.9599999999999996,0.98,0.9411343250670291,False,0.9346095504239829,True
2012-01-26,505,1,0.99,1.01,1.0112472426685588,False,1.0078124719275046,True
2012-01-26,505,5,0.95,1.01,1.0035228518398511,False,0.9990623596375223,True
2012-01-26,505,20,0.9599999999999996,1.01,0.975351376281028,False,0.9662494385500892,True
2012-02-02,510,1,0.9699999999999998,0.95,0.9508060760598999,False,0.9477160284929501,True
2012-02-02,510,5,0.9999999999999998,0.95,0.9483405969160519,False,0.9385801424647507,True
2012-02-02,510,20,0.8999999999999999,0.95,0.9315789305352841,False,0.9043205698590033,True
2012-02-09,515,1,0.9799999999999998,0.9999999999999998,1.0029492178614166,False,0.9978354141065218,True
2012-02-09,515,5,0.9599999999999996,0.9999999999999998,0.9962452155050286,False,0.9891770705326097,True
2012-02-09,515,20,0.8399999999999999,0.9999999999999998,0.9727372903121075,False,0.9567082821304397,True
2012-02-16,520,1,0.9599999999999996,0.9599999999999996,0.9551065332843548,False,0.9577791981909898,True
2012-02-16,520,5,0.9599999999999996,0.9599999999999996,0.9517397751286089,False,0.9488959909549506,True
2012-02-16,520,20,0.94,0.9599999999999996,0.9325642326674588,False,0.9155839638198033,True
2012-02-23,525,1,0.95,0.9599999999999996,0.9630369795465094,False,0.9578003426364843,True
2012-02-23,525,5,0.8999999999999999,0.9599999999999996,0.9567343404606812,False,0.9490017131824229,True
2012-02-23,525,20,0.9600000000000002,0.9599999999999996,0.9345123906300451,False,0.9160068527296924,True
2012-03-01,530,1,0.8599999999999999,0.8999999999999999,0.8989297699119976,False,0.8977076638529727,True
2012-03-01,530,5,0.8399999999999999,0.8999999999999999,0.8953575849621935,False,0.8885383192648642,True
2012-03-01,530,20,0.9000000000000001,0.8999999999999999,0.8782523138692494,False,0.854153277059457,True
2012-03-08,535,1,0.8399999999999999,0.8399999999999999,0.837056512850023,False,0.8376167189611049,True
2012-03-08,535,5,0.94,0.8399999999999999,0.8334140217654733,False,0.8280835948055248,True
2012-03-08,535,20,0.8799999999999999,0.8399999999999999,0.8128359913434123,False,0.7923343792220999,True
2012-03-15,540,1,0.9600000000000002,0.94,0.9392318255552474,False,0.9378243111691944,True
2012-03-15,540,5,0.9600000000000002,0.94,0.9339747341246222,False,0.929121555845972,True
2012-03-15,540,20,0.8199999999999998,0.94,0.9131538528342322,False,0.8964862233838883,True
2012-03-22,545,1,0.9500000000000002,0.9600000000000002,0.958109808624884,False,0.9578810052420947,True
2012-03-22,545,5,0.9000000000000001,0.9600000000000002,0.9500425373799927,False,0.9494050262104732,True
