horizon,lstm_rmse,lstm_mae,naive_rmse,naive_mae,lstm_rmse_improvement_pct,lstm_mae_improvement_pct
1,0.02885804236175817,0.020461667329072952,0.02882442907965397,0.020278971642255783,-0.11661386947617192,-0.9009119892277071
5,0.06321113552165741,0.047317985445261,0.06306865650319772,0.0471968911588192,-0.22591097759069753,-0.256572590839334
20,0.12735123934107168,0.09627583622932434,0.1261279578882862,0.09549356251955032,-0.9698733518455526,-0.8191899947327476
